epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,learning_rate
1,4.16451036177295,0.05432849095760451,3.7504824905395506,0.082,0.001
2,3.8283410028502316,0.08656981915209012,3.527299057006836,0.122,0.001
3,3.682166423777816,0.11503112955825674,3.357749294281006,0.162,0.001
4,3.5619294443365166,0.12948413874888823,3.2332744731903076,0.188,0.001
5,3.4592814623620365,0.14282537800177883,3.1428479290008546,0.18,0.001
6,3.3752456447896497,0.16091016898903054,3.097383930206299,0.2,0.001
7,3.304074378738833,0.1660243107026386,2.9181961975097654,0.246,0.001
8,3.2137270450167934,0.19159501927067893,2.8580063781738283,0.256,0.001
9,3.145406205824494,0.2069374444115031,2.7754423027038575,0.282,0.001
10,3.079622042486585,0.2129410020753039,2.7517911491394043,0.268,0.001
11,3.0175759216249785,0.23006225911651348,2.5871097946166994,0.304,0.001
12,2.93622681227276,0.24458938630299437,2.5307250766754152,0.314,0.001
13,2.8902247645471135,0.253780017788319,2.4537251415252688,0.34,0.001
14,2.8405612450907007,0.26222946931514973,2.442020935058594,0.344,0.001
15,2.7675128844029606,0.27683071449748,2.4273757934570312,0.342,0.001
16,2.7339788182284335,0.2873554699080937,2.2715215091705323,0.38,0.001
17,2.6886485888913447,0.2938037355469908,2.2206262016296385,0.376,0.001
18,2.6263193074793834,0.3056626148828936,2.1248300457000733,0.41,0.001
19,2.5946221599019035,0.3205603320486214,2.0950127239227294,0.434,0.001
20,2.55284360456707,0.3250815297954343,2.152267475128174,0.416,0.001
21,2.507746997799889,0.3389415950192707,1.9514978370666505,0.458,0.001
22,2.4638535847057406,0.34034983694040916,1.9598903446197509,0.466,0.001
23,2.4278536740587757,0.3482804624962941,1.9485673027038575,0.488,0.001
24,2.392074757430944,0.3617699377408835,1.8526281509399414,0.516,0.001
25,2.3398342318468406,0.37140527720130445,1.849571487426758,0.5,0.001
